시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
금성경로당,경로당,전라북도 익산시 함열읍 금성길 5,전라북도 익산시 함열읍 와리 326-1,36.0861885,126.9657257288,영업,,2014-07-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신흥촌경로당,경로당,전라북도 익산시 함열읍 남당길 44-5,전라북도 익산시 함열읍 남당리 618-23,36.0791909,126.9711896242,영업,,2003-06-04,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
하조경로당,경로당,전라북도 익산시 함열읍 남당길 48,전라북도 익산시 함열읍 남당리 618-31,36.0793737911,126.9719759,영업,,2004-02-10,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
남당경로당,경로당,전라북도 익산시 함열읍 남당길 67,전라북도 익산시 함열읍 남당리 352,36.0785739,126.9740368535,영업,,1986-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열방교경로당,경로당,전라북도 익산시 함열읍 다송방교길 11,전라북도 익산시 함열읍 다송리 296-4,36.0435448,126.9569966470,영업,,2008-08-29,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
다송경로당,경로당,전라북도 익산시 함열읍 다송방교길 61,전라북도 익산시 함열읍 다송리 408-10,36.0418711229,126.9541070421,영업,,1981-06-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열동신경로당,경로당,전라북도 익산시 함열읍 동신길 14,전라북도 익산시 함열읍 남당리 187-7,36.0753044,126.9790156061,영업,,1987-05-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
동지상경로당,경로당,전라북도 익산시 함열읍 동지상1길 13,전라북도 익산시 함열읍 와리 473-1,36.0869306,126.9584299665,영업,,2004-06-22,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
두라마을경로당,경로당,전라북도 익산시 함열읍 두라길 42,전라북도 익산시 함열읍 석매리 491-14,36.0653781,126.9616381277,영업,,2002-03-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
매교경로당,경로당,전라북도 익산시 함열읍 매교길 19,전라북도 익산시 함열읍 석매리 215-4,36.0502171,126.9631733538,영업,,1997-01-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
미력경로당,경로당,전라북도 익산시 함열읍 미력길 9,전라북도 익산시 함열읍 와리 660-16,36.0745083,126.9595330841,영업,,1973-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
박전경로당,경로당,전라북도 익산시 함열읍 박전1길 16-6,전라북도 익산시 함열읍 다송리 276,36.0416922,126.9602694191,영업,,2008-06-30,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
삼양경로당,경로당,전라북도 익산시 함열읍 삼양길 3,전라북도 익산시 함열읍 와리 372-5,36.0913877,126.9592617719,영업,,2004-12-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상마경로당,경로당,전라북도 익산시 함열읍 상마1길 20-1,전라북도 익산시 함열읍 다송리 140-3,36.0339653,126.9655787268,영업,,2009-04-06,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상조경로당,경로당,전라북도 익산시 함열읍 상조길 33,전라북도 익산시 함열읍 남당리 661-3,36.0771632,126.9698386296,영업,,2004-03-09,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상지원경로당,경로당,전라북도 익산시 함열읍 상지원길 67,전라북도 익산시 함열읍 석매리 116-15,36.0452483027,126.9761455042,영업,,1994-01-13,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
석치경로당,경로당,전라북도 익산시 함열읍 석매석치길 86,전라북도 익산시 함열읍 석매리 873-1,36.0576949516,126.9560551698,영업,,1974-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
현대화시장경로당,경로당,전라북도 익산시 함열읍 와리2길 8,전라북도 익산시 함열읍 와리 544-34,36.0808054,126.9585224388,영업,,2007-02-21,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
와리경로당,경로당,전라북도 익산시 함열읍 와리3길 38,전라북도 익산시 함열읍 와리 568-1,36.0813531,126.9610033170,영업,,1977-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
